
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
.	.	.	.	.	. caxi4interconnect_FifoDualPort_1s_2_2s_2s_2_3, 20, 21, 4, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DualPort_FF_SyncWr_SyncRd_1s_2s_2s_4s_3, 10, 4, 4, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_FifoDualPort_1s_2_2s_2s_2_4, 20, 956, 4, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DualPort_FF_SyncWr_SyncRd_1s_2s_2s_4s_4, 10, 219, 4, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_WriteDataMux_Z23, 0, 18, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_WriteDataMux_Z23_0, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_WriteDataMux_Z23_1, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_WriteDataMux_Z23_2, 0, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_WriteDataMux_Z24, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_WriteDataMux_Z24_0, 0, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	. caxi4interconnect_MasterConvertor_Z28, 478, 276, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_4s_32s_64s_0s_1s_0, 478, 276, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_67s_0_1_3_2, 90, 54, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_67s_0_1_3_3, 86, 50, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_72s_0_1_3_0, 144, 81, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_74s_0_1_3_9, 148, 83, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_7s_0_1_3_2, 10, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	. caxi4interconnect_MasterConvertor_Z29, 458, 247, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_4s_32s_64s_0s_1s_2, 458, 247, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_67s_0_1_3_1, 86, 46, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_67s_0_1_3_4, 86, 46, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_72s_0_1_3_1, 132, 69, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_74s_0_1_3_0, 148, 80, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_7s_0_1_3_0, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	. caxi4interconnect_MasterConvertor_Z30, 405, 214, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_4s_32s_64s_0s_1s_1, 405, 214, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_67s_0_1_3_0, 68, 37, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_67s_0_1_3_6, 68, 37, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_72s_0_1_3_2, 132, 69, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_74s_0_1_3_4, 134, 70, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_7s_0_1_3_3, 3, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. caxi4interconnect_ResetSycnc_2, 2, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. caxi4interconnect_SlaveConvertor_Z33, 831, 821, 225, 0, 0, 0, 39, 0, 0
.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_6s_32s_64s_0s_1s_1, 502, 275, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_69s_0_1_3_1, 96, 51, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_69s_0_1_3_9, 100, 53, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_74s_0_1_3_5, 148, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_74s_0_1_3_8, 146, 79, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_9s_0_1_3_1, 12, 15, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_ResetSycnc_0, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_SlvClockDomainCrossing_32s_6s_64s_1s_1_69s_74s_9s_74s_4s_0, 150, 154, 0, 0, 0, 0, 23, 0, 0
.	.	.	.	.	. caxi4interconnect_CDC_FIFO_4s_69s_2s_1_0, 30, 31, 0, 0, 0, 0, 5, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_2s_0_1, 4, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_2s_9, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_2s_1_1, 4, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_2s_12, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_2s_1s_2s_PCIe_EP_Demo_0_1, 4, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_2s_1s_2s_PCIe_EP_Demo_1_1, 4, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_3s_3s_2s_PCIe_EP_Demo_1_1, 4, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_rdCtrl_2s_1_1, 1, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_wrCtrl_2s_1_1, 1, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_4s_2s_69s_1_1, 0, 0, 0, 0, 0, 0, 5, 0, 0
.	.	.	.	.	. caxi4interconnect_CDC_FIFO_4s_69s_2s_1_1, 30, 31, 0, 0, 0, 0, 4, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_2s_0, 4, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_2s, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_2s_1, 4, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_2s_2, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_2s_1s_2s_PCIe_EP_Demo_0, 4, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_2s_1s_2s_PCIe_EP_Demo_1, 4, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_3s_3s_2s_PCIe_EP_Demo_1, 4, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_rdCtrl_2s_1, 1, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_wrCtrl_2s_1, 1, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_4s_2s_69s_1_0, 0, 0, 0, 0, 0, 0, 4, 0, 0
.	.	.	.	.	. caxi4interconnect_CDC_FIFO_4s_74s_2s_1_0, 30, 31, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_2s_0_2, 4, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_2s_17, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_2s_1_2, 4, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_2s_14, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_2s_1s_2s_PCIe_EP_Demo_0_2, 4, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_2s_1s_2s_PCIe_EP_Demo_1_2, 4, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_3s_3s_2s_PCIe_EP_Demo_0, 4, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_rdCtrl_2s_0, 1, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_wrCtrl_2s_0, 1, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_4s_2s_74s_1_1, 0, 0, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	. caxi4interconnect_CDC_FIFO_4s_74s_2s_1_1, 30, 30, 0, 0, 0, 0, 7, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_2s_0_0, 4, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_2s_4, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_2s_1_0, 4, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_2s_7, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_2s_1s_2s_PCIe_EP_Demo_0_0, 4, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_2s_1s_2s_PCIe_EP_Demo_1_0, 4, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_3s_3s_2s_PCIe_EP_Demo_1_0, 4, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_rdCtrl_2s_1_0, 1, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_wrCtrl_2s_1_0, 1, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_4s_2s_74s, 0, 0, 0, 0, 0, 0, 7, 0, 0
.	.	.	.	.	. caxi4interconnect_CDC_FIFO_4s_9s_2s_0, 30, 31, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_2s_0_3, 4, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_2s_22, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_2s_1_3, 4, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_2s_19, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_2s_1s_2s_PCIe_EP_Demo_0_3, 4, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_2s_1s_2s_PCIe_EP_Demo_1_3, 4, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_3s_3s_2s_PCIe_EP_Demo_0_0, 4, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_rdCtrl_2s_0_0, 1, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_wrCtrl_2s_0_0, 1, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_4s_2s_9s_0, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	. caxi4interconnect_SlvProtocolConverter_Z32, 177, 392, 225, 0, 0, 0, 16, 0, 0
.	.	.	.	.	. caxi4interconnect_SlvAxi4ProtocolConv_0s_3_32s_64s_1s_6s_4s_4s, 177, 392, 225, 0, 0, 0, 16, 0, 0
.	.	.	.	.	.	. caxi4interconnect_SlvAxi4ProtConvRead_0s_3_32s_64s_1s_6s_4s_4s_4s_16, 83, 191, 117, 0, 0, 0, 8, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FifoDualPort_0_2s_4s_14s_1, 15, 148, 26, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_DualPort_RAM_SyncWr_SyncRd_4s_14s_0s_16s, 0, 0, 0, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FifoDualPort_0_2s_4s_72s_1, 15, 32, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_DualPort_RAM_SyncWr_SyncRd_4s_72s_0s_16s, 0, 0, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	. caxi4interconnect_SlvAxi4ProtConvWrite_0s_3_32s_64s_1s_6s_4s_4s_4s_16, 94, 201, 108, 0, 0, 0, 8, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FifoDualPort_0_2s_4s_10s_1, 15, 146, 26, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_DualPort_RAM_SyncWr_SyncRd_4s_10s_0s_16s, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FifoDualPort_0_2s_4s_73s_1, 15, 42, 0, 0, 0, 0, 7, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_DualPort_RAM_SyncWr_SyncRd_4s_73s_0s_16s, 0, 0, 0, 0, 0, 0, 7, 0, 0
.	.	.	. caxi4interconnect_SlaveConvertor_Z36, 310, 249, 0, 0, 0, 0, 2, 0, 0
.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_6s_32s_64s_0s_1s_4, 278, 159, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_69s_0_1_3_0, 30, 18, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_69s_0_1_3_10, 26, 16, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_74s_0_1_3_1, 68, 37, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_74s_0_1_3_12, 144, 75, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_9s_0_1_3_4, 10, 13, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_SlvProtocolConverter_Z35, 32, 90, 0, 0, 0, 0, 2, 0, 0
.	.	.	.	.	. caxi4interconnect_SlvAxi4ProtConvAXI4ID_1_6s_4s_7, 16, 45, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. caxi4interconnect_FIFO_16s_6s_6s_15s_0s_16s_4s_0s_15s_PCIe_EP_Demo_0_1, 16, 39, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_16s_15s_0s_4s_16s_0s_1_1_2_3, 16, 39, 0, 0, 0, 0, 0, 0, 0
