;----------------------------------------------------------------------------------
; Register Lock Bits Configuration File for peripheral blocks
; Date:    Tue May 17 09:39:02 2022
Q1_PCS_LANE1_PMA_CTRL_R0_LOCK                  1
Q1_PCS_LANE2_L8_R0_LOCK                        1
Q1_PCS_LANE2_LCLK_R0_LOCK                      1
Q1_PCS_LANE2_LCLK_R1_LOCK                      1
Q1_PCS_LANE2_LFWF_R0_LOCK                      1
Q1_PCS_LANE2_LNTV_R0_LOCK                      1
Q1_PCS_LANE2_LOVR_R0_LOCK                      1
Q1_PCS_LANE2_LPIP_R0_LOCK                      1
Q1_PCS_LANE2_PMA_CTRL_R0_LOCK                  1
Q1_PCS_LANE3_L8_R0_LOCK                        1
Q1_PCS_LANE3_LCLK_R0_LOCK                      1
Q1_PCS_LANE3_LCLK_R1_LOCK                      1
Q1_PCS_LANE3_LFWF_R0_LOCK                      1
Q1_PCS_LANE3_LNTV_R0_LOCK                      1
Q1_PCS_LANE3_LOVR_R0_LOCK                      1
Q1_PCS_LANE3_LPIP_R0_LOCK                      1
Q1_PCS_LANE3_PMA_CTRL_R0_LOCK                  1
Q1_PCSCMN_GSSCLK_CTRL_LOCK                     1
Q1_PCSCMN_QDBG_R0_LOCK                         1
Q1_PCSCMN_QRST_R0_LOCK                         1
Q1_PCSCMN_SOFT_RESET_LOCK                      1
Q1_PMA_CMN_SOFT_RESET_LOCK                     1
Q1_PMA_CMN_TXPLL_CLK_SEL_LOCK                  1
Q1_PMA_CMN_TXPLL_CLKBUF_LOCK                   1
Q1_PMA_CMN_TXPLL_CTRL_LOCK                     1
Q1_PMA_CMN_TXPLL_DIV_1_LOCK                    1
Q1_PMA_CMN_TXPLL_DIV_2_LOCK                    1
Q1_PMA_LANE0_DES_CLK_CTRL_LOCK                 1
Q1_PMA_LANE0_DES_DFE_CTRL_2_LOCK               1
Q1_PMA_LANE0_DES_DFEEM_CTRL_3_LOCK             1
Q1_PMA_LANE0_DES_EM_CTRL_2_LOCK                1
Q1_PMA_LANE0_DES_IN_TERM_LOCK                  1
Q1_PMA_LANE0_DES_PKDET_LOCK                    1
Q1_PMA_LANE0_DES_RTL_LOCK_CTRL_LOCK            1
Q1_PMA_LANE0_DES_RXPLL_DIV_LOCK                1
Q1_PMA_LANE0_DES_TEST_BUS_LOCK                 1
Q1_PMA_LANE0_SER_CLK_CTRL_LOCK                 1
Q1_PMA_LANE0_SER_CTRL_LOCK                     1
Q1_PMA_LANE0_SER_DRV_BYP_LOCK                  1
Q1_PMA_LANE0_SER_DRV_CTRL_LOCK                 1
Q1_PMA_LANE0_SER_DRV_CTRL_SEL_LOCK             1
Q1_PMA_LANE0_SER_DRV_DATA_CTRL_LOCK            1
Q1_PMA_LANE0_SER_RXDET_CTRL_LOCK               1
Q1_PMA_LANE0_SER_TERM_CTRL_LOCK                1
Q1_PMA_LANE0_SER_TEST_BUS_LOCK                 1
Q1_PMA_LANE0_SERDES_RTL_CTRL_LOCK              1
Q1_PMA_LANE0_SOFT_RESET_LOCK                   1
Q1_PMA_LANE1_DES_CLK_CTRL_LOCK                 1
Q1_PMA_LANE1_DES_DFE_CTRL_2_LOCK               1
Q1_PMA_LANE1_DES_DFEEM_CTRL_3_LOCK             1
Q1_PMA_LANE1_DES_EM_CTRL_2_LOCK                1
Q1_PMA_LANE1_DES_IN_TERM_LOCK                  1
Q1_PMA_LANE1_DES_PKDET_LOCK                    1
Q1_PMA_LANE1_DES_RTL_LOCK_CTRL_LOCK            1
Q1_PMA_LANE1_DES_RXPLL_DIV_LOCK                1
Q1_PMA_LANE1_DES_TEST_BUS_LOCK                 1
Q1_PMA_LANE1_SER_CLK_CTRL_LOCK                 1
Q1_PMA_LANE1_SER_CTRL_LOCK                     1
Q1_PMA_LANE1_SER_DRV_BYP_LOCK                  1
Q1_PMA_LANE1_SER_DRV_CTRL_LOCK                 1
Q1_PMA_LANE1_SER_DRV_CTRL_SEL_LOCK             1
Q1_PMA_LANE1_SER_DRV_DATA_CTRL_LOCK            1
Q1_PMA_LANE1_SER_RXDET_CTRL_LOCK               1
Q1_PMA_LANE1_SER_TERM_CTRL_LOCK                1
Q1_PMA_LANE1_SER_TEST_BUS_LOCK                 1
Q1_PMA_LANE1_SERDES_RTL_CTRL_LOCK              1
Q1_PMA_LANE1_SOFT_RESET_LOCK                   1
Q1_PMA_LANE2_DES_CLK_CTRL_LOCK                 1
Q1_PMA_LANE2_DES_DFE_CTRL_2_LOCK               1
Q1_PMA_LANE2_DES_DFEEM_CTRL_3_LOCK             1
Q1_PMA_LANE2_DES_EM_CTRL_2_LOCK                1
Q1_PMA_LANE2_DES_IN_TERM_LOCK                  1
Q1_PMA_LANE2_DES_PKDET_LOCK                    1
Q1_PMA_LANE2_DES_RTL_LOCK_CTRL_LOCK            1
Q1_PMA_LANE2_DES_RXPLL_DIV_LOCK                1
Q1_PMA_LANE2_DES_TEST_BUS_LOCK                 1
Q1_PMA_LANE2_SER_CLK_CTRL_LOCK                 1
Q1_PMA_LANE2_SER_CTRL_LOCK                     1
Q1_PMA_LANE2_SER_DRV_BYP_LOCK                  1
Q1_PMA_LANE2_SER_DRV_CTRL_LOCK                 1
Q1_PMA_LANE2_SER_DRV_CTRL_SEL_LOCK             1
Q1_PMA_LANE2_SER_DRV_DATA_CTRL_LOCK            1
Q1_PMA_LANE2_SER_RXDET_CTRL_LOCK               1
Q1_PMA_LANE2_SER_TERM_CTRL_LOCK                1
Q1_PMA_LANE2_SER_TEST_BUS_LOCK                 1
Q1_PMA_LANE2_SERDES_RTL_CTRL_LOCK              1
Q1_PMA_LANE2_SOFT_RESET_LOCK                   1
Q1_PMA_LANE3_DES_CLK_CTRL_LOCK                 1
Q1_PMA_LANE3_DES_DFE_CTRL_2_LOCK               1
Q1_PMA_LANE3_DES_DFEEM_CTRL_3_LOCK             1
Q1_PMA_LANE3_DES_EM_CTRL_2_LOCK                1
Q1_PMA_LANE3_DES_IN_TERM_LOCK                  1
Q1_PMA_LANE3_DES_PKDET_LOCK                    1
Q1_PMA_LANE3_DES_RTL_LOCK_CTRL_LOCK            1
Q1_PMA_LANE3_DES_RXPLL_DIV_LOCK                1
Q1_PMA_LANE3_DES_TEST_BUS_LOCK                 1
Q1_PMA_LANE3_SER_CLK_CTRL_LOCK                 1
Q1_PMA_LANE3_SER_CTRL_LOCK                     1
Q1_PMA_LANE3_SER_DRV_BYP_LOCK                  1
Q1_PMA_LANE3_SER_DRV_CTRL_LOCK                 1
Q1_PMA_LANE3_SER_DRV_CTRL_SEL_LOCK             1
Q1_PMA_LANE3_SER_DRV_DATA_CTRL_LOCK            1
Q1_PMA_LANE3_SER_RXDET_CTRL_LOCK               1
Q1_PMA_LANE3_SER_TERM_CTRL_LOCK                1
Q1_PMA_LANE3_SER_TEST_BUS_LOCK                 1
Q1_PMA_LANE3_SERDES_RTL_CTRL_LOCK              1
Q1_PMA_LANE3_SOFT_RESET_LOCK                   1
Q2_MAIN_SOFT_RESET_LOCK                        1
Q2_PCS_LANE0_L8_R0_LOCK                        1
Q2_PCS_LANE0_LCLK_R0_LOCK                      1
Q2_PCS_LANE0_LCLK_R1_LOCK                      1
Q2_PCS_LANE0_LFWF_R0_LOCK                      1
Q2_PCS_LANE0_LNTV_R0_LOCK                      1
Q2_PCS_LANE0_LOVR_R0_LOCK                      1
Q2_PCS_LANE0_LPIP_R0_LOCK                      1
Q2_PCS_LANE0_PMA_CTRL_R0_LOCK                  1
Q2_PCS_LANE1_L8_R0_LOCK                        1
Q2_PCS_LANE1_LCLK_R0_LOCK                      1
Q2_PCS_LANE1_LCLK_R1_LOCK                      1
Q2_PCS_LANE1_LFWF_R0_LOCK                      1
Q2_PCS_LANE1_LNTV_R0_LOCK                      1
Q2_PCS_LANE1_LOVR_R0_LOCK                      1
Q2_PCS_LANE1_LPIP_R0_LOCK                      1
Q2_PCS_LANE1_PMA_CTRL_R0_LOCK                  1
Q2_PCS_LANE2_L8_R0_LOCK                        1
Q2_PCS_LANE2_LCLK_R0_LOCK                      1
Q2_PCS_LANE2_LCLK_R1_LOCK                      1
Q2_PCS_LANE2_LFWF_R0_LOCK                      1
Q2_PCS_LANE2_LNTV_R0_LOCK                      1
Q2_PCS_LANE2_LOVR_R0_LOCK                      1
Q2_PCS_LANE2_LPIP_R0_LOCK                      1
Q2_PCS_LANE2_PMA_CTRL_R0_LOCK                  1
Q2_PCS_LANE3_L8_R0_LOCK                        1
Q2_PCS_LANE3_LCLK_R0_LOCK                      1
Q2_PCS_LANE3_LCLK_R1_LOCK                      1
Q2_PCS_LANE3_LFWF_R0_LOCK                      1
Q2_PCS_LANE3_LNTV_R0_LOCK                      1
Q2_PCS_LANE3_LOVR_R0_LOCK                      1
Q2_PCS_LANE3_LPIP_R0_LOCK                      1
Q2_PCS_LANE3_PMA_CTRL_R0_LOCK                  1
Q2_PCSCMN_GSSCLK_CTRL_LOCK                     1
Q2_PCSCMN_QDBG_R0_LOCK                         1
Q2_PCSCMN_QRST_R0_LOCK                         1
Q2_PCSCMN_SOFT_RESET_LOCK                      1
Q2_PMA_CMN_SOFT_RESET_LOCK                     1
Q2_PMA_CMN_TXPLL_CLK_SEL_LOCK                  1
Q2_PMA_CMN_TXPLL_CLKBUF_LOCK                   1
Q2_PMA_CMN_TXPLL_CTRL_LOCK                     1
Q2_PMA_CMN_TXPLL_DIV_1_LOCK                    1
Q2_PMA_CMN_TXPLL_DIV_2_LOCK                    1
Q2_PMA_LANE0_DES_CLK_CTRL_LOCK                 1
Q2_PMA_LANE0_DES_DFE_CTRL_2_LOCK               1
Q2_PMA_LANE0_DES_DFEEM_CTRL_3_LOCK             1
Q2_PMA_LANE0_DES_EM_CTRL_2_LOCK                1
Q2_PMA_LANE0_DES_IN_TERM_LOCK                  1
Q2_PMA_LANE0_DES_PKDET_LOCK                    1
Q2_PMA_LANE0_DES_RTL_LOCK_CTRL_LOCK            1
Q2_PMA_LANE0_DES_RXPLL_DIV_LOCK                1
Q2_PMA_LANE0_DES_TEST_BUS_LOCK                 1
Q2_PMA_LANE0_SER_CLK_CTRL_LOCK                 1
Q2_PMA_LANE0_SER_CTRL_LOCK                     1
Q2_PMA_LANE0_SER_DRV_BYP_LOCK                  1
Q2_PMA_LANE0_SER_DRV_CTRL_LOCK                 1
Q2_PMA_LANE0_SER_DRV_CTRL_SEL_LOCK             1
Q2_PMA_LANE0_SER_DRV_DATA_CTRL_LOCK            1
Q2_PMA_LANE0_SER_RXDET_CTRL_LOCK               1
Q2_PMA_LANE0_SER_TERM_CTRL_LOCK                1
Q2_PMA_LANE0_SER_TEST_BUS_LOCK                 1
Q2_PMA_LANE0_SERDES_RTL_CTRL_LOCK              1
Q2_PMA_LANE0_SOFT_RESET_LOCK                   1
Q2_PMA_LANE1_DES_CLK_CTRL_LOCK                 1
Q2_PMA_LANE1_DES_DFE_CTRL_2_LOCK               1
Q2_PMA_LANE1_DES_DFEEM_CTRL_3_LOCK             1
Q2_PMA_LANE1_DES_EM_CTRL_2_LOCK                1
Q2_PMA_LANE1_DES_IN_TERM_LOCK                  1
Q2_PMA_LANE1_DES_PKDET_LOCK                    1
Q2_PMA_LANE1_DES_RTL_LOCK_CTRL_LOCK            1
Q2_PMA_LANE1_DES_RXPLL_DIV_LOCK                1
Q2_PMA_LANE1_DES_TEST_BUS_LOCK                 1
Q2_PMA_LANE1_SER_CLK_CTRL_LOCK                 1
Q2_PMA_LANE1_SER_CTRL_LOCK                     1
Q2_PMA_LANE1_SER_DRV_BYP_LOCK                  1
Q2_PMA_LANE1_SER_DRV_CTRL_LOCK                 1
Q2_PMA_LANE1_SER_DRV_CTRL_SEL_LOCK             1
Q2_PMA_LANE1_SER_DRV_DATA_CTRL_LOCK            1
Q2_PMA_LANE1_SER_RXDET_CTRL_LOCK               1
Q2_PMA_LANE1_SER_TERM_CTRL_LOCK                1
Q2_PMA_LANE1_SER_TEST_BUS_LOCK                 1
Q2_PMA_LANE1_SERDES_RTL_CTRL_LOCK              1
Q2_PMA_LANE1_SOFT_RESET_LOCK                   1
Q2_PMA_LANE2_DES_CLK_CTRL_LOCK                 1
Q2_PMA_LANE2_DES_DFE_CTRL_2_LOCK               1
Q2_PMA_LANE2_DES_DFEEM_CTRL_3_LOCK             1
Q2_PMA_LANE2_DES_EM_CTRL_2_LOCK                1
Q2_PMA_LANE2_DES_IN_TERM_LOCK                  1
Q2_PMA_LANE2_DES_PKDET_LOCK                    1
Q2_PMA_LANE2_DES_RTL_LOCK_CTRL_LOCK            1
Q2_PMA_LANE2_DES_RXPLL_DIV_LOCK                1
Q2_PMA_LANE2_DES_TEST_BUS_LOCK                 1
Q2_PMA_LANE2_SER_CLK_CTRL_LOCK                 1
Q2_PMA_LANE2_SER_CTRL_LOCK                     1
Q2_PMA_LANE2_SER_DRV_BYP_LOCK                  1
Q2_PMA_LANE2_SER_DRV_CTRL_LOCK                 1
Q2_PMA_LANE2_SER_DRV_CTRL_SEL_LOCK             1
Q2_PMA_LANE2_SER_DRV_DATA_CTRL_LOCK            1
Q2_PMA_LANE2_SER_RXDET_CTRL_LOCK               1
Q2_PMA_LANE2_SER_TERM_CTRL_LOCK                1
Q2_PMA_LANE2_SER_TEST_BUS_LOCK                 1
Q2_PMA_LANE2_SERDES_RTL_CTRL_LOCK              1
Q2_PMA_LANE2_SOFT_RESET_LOCK                   1
Q2_PMA_LANE3_DES_CLK_CTRL_LOCK                 1
Q2_PMA_LANE3_DES_DFE_CTRL_2_LOCK               1
Q2_PMA_LANE3_DES_DFEEM_CTRL_3_LOCK             1
Q2_PMA_LANE3_DES_EM_CTRL_2_LOCK                1
Q2_PMA_LANE3_DES_IN_TERM_LOCK                  1
Q2_PMA_LANE3_DES_PKDET_LOCK                    1
Q2_PMA_LANE3_DES_RTL_LOCK_CTRL_LOCK            1
Q2_PMA_LANE3_DES_RXPLL_DIV_LOCK                1
Q2_PMA_LANE3_DES_TEST_BUS_LOCK                 1
Q2_PMA_LANE3_SER_CLK_CTRL_LOCK                 1
Q2_PMA_LANE3_SER_CTRL_LOCK                     1
Q2_PMA_LANE3_SER_DRV_BYP_LOCK                  1
Q2_PMA_LANE3_SER_DRV_CTRL_LOCK                 1
Q2_PMA_LANE3_SER_DRV_CTRL_SEL_LOCK             1
Q2_PMA_LANE3_SER_DRV_DATA_CTRL_LOCK            1
Q2_PMA_LANE3_SER_RXDET_CTRL_LOCK               1
Q2_PMA_LANE3_SER_TERM_CTRL_LOCK                1
Q2_PMA_LANE3_SER_TEST_BUS_LOCK                 1
Q2_PMA_LANE3_SERDES_RTL_CTRL_LOCK              1
Q2_PMA_LANE3_SOFT_RESET_LOCK                   1
Q3_MAIN_SOFT_RESET_LOCK                        1
Q3_PCS_LANE0_L8_R0_LOCK                        1
Q3_PCS_LANE0_LCLK_R0_LOCK                      1
Q3_PCS_LANE0_LCLK_R1_LOCK                      1
Q3_PCS_LANE0_LFWF_R0_LOCK                      1
Q3_PCS_LANE0_LNTV_R0_LOCK                      1
Q3_PCS_LANE0_LOVR_R0_LOCK                      1
Q3_PCS_LANE0_LPIP_R0_LOCK                      1
Q3_PCS_LANE0_PMA_CTRL_R0_LOCK                  1
Q3_PCS_LANE1_L8_R0_LOCK                        1
Q3_PCS_LANE1_LCLK_R0_LOCK                      1
Q3_PCS_LANE1_LCLK_R1_LOCK                      1
Q3_PCS_LANE1_LFWF_R0_LOCK                      1
Q3_PCS_LANE1_LNTV_R0_LOCK                      1
Q3_PCS_LANE1_LOVR_R0_LOCK                      1
Q3_PCS_LANE1_LPIP_R0_LOCK                      1
Q3_PCS_LANE1_PMA_CTRL_R0_LOCK                  1
Q3_PCS_LANE2_L8_R0_LOCK                        1
Q3_PCS_LANE2_LCLK_R0_LOCK                      1
Q3_PCS_LANE2_LCLK_R1_LOCK                      1
Q3_PCS_LANE2_LFWF_R0_LOCK                      1
Q3_PCS_LANE2_LNTV_R0_LOCK                      1
Q3_PCS_LANE2_LOVR_R0_LOCK                      1
Q3_PCS_LANE2_LPIP_R0_LOCK                      1
Q3_PCS_LANE2_PMA_CTRL_R0_LOCK                  1
Q3_PCS_LANE3_L8_R0_LOCK                        1
Q3_PCS_LANE3_LCLK_R0_LOCK                      1
Q3_PCS_LANE3_LCLK_R1_LOCK                      1
Q3_PCS_LANE3_LFWF_R0_LOCK                      1
Q3_PCS_LANE3_LNTV_R0_LOCK                      1
Q3_PCS_LANE3_LOVR_R0_LOCK                      1
Q3_PCS_LANE3_LPIP_R0_LOCK                      1
Q3_PCS_LANE3_PMA_CTRL_R0_LOCK                  1
Q3_PCSCMN_GSSCLK_CTRL_LOCK                     1
Q3_PCSCMN_QDBG_R0_LOCK                         1
Q3_PCSCMN_QRST_R0_LOCK                         1
Q3_PCSCMN_SOFT_RESET_LOCK                      1
Q3_PMA_CMN_SOFT_RESET_LOCK                     1
Q3_PMA_CMN_TXPLL_CLK_SEL_LOCK                  1
Q3_PMA_CMN_TXPLL_CLKBUF_LOCK                   1
Q3_PMA_CMN_TXPLL_CTRL_LOCK                     1
Q3_PMA_CMN_TXPLL_DIV_1_LOCK                    1
Q3_PMA_CMN_TXPLL_DIV_2_LOCK                    1
Q3_PMA_LANE0_DES_CLK_CTRL_LOCK                 1
Q3_PMA_LANE0_DES_DFE_CTRL_2_LOCK               1
Q3_PMA_LANE0_DES_DFEEM_CTRL_3_LOCK             1
Q3_PMA_LANE0_DES_EM_CTRL_2_LOCK                1
Q3_PMA_LANE0_DES_IN_TERM_LOCK                  1
Q3_PMA_LANE0_DES_PKDET_LOCK                    1
Q3_PMA_LANE0_DES_RTL_LOCK_CTRL_LOCK            1
Q3_PMA_LANE0_DES_RXPLL_DIV_LOCK                1
Q3_PMA_LANE0_DES_TEST_BUS_LOCK                 1
Q3_PMA_LANE0_SER_CLK_CTRL_LOCK                 1
Q3_PMA_LANE0_SER_CTRL_LOCK                     1
Q3_PMA_LANE0_SER_DRV_BYP_LOCK                  1
Q3_PMA_LANE0_SER_DRV_CTRL_LOCK                 1
Q3_PMA_LANE0_SER_DRV_CTRL_SEL_LOCK             1
Q3_PMA_LANE0_SER_DRV_DATA_CTRL_LOCK            1
Q3_PMA_LANE0_SER_RXDET_CTRL_LOCK               1
Q3_PMA_LANE0_SER_TERM_CTRL_LOCK                1
Q3_PMA_LANE0_SER_TEST_BUS_LOCK                 1
Q3_PMA_LANE0_SERDES_RTL_CTRL_LOCK              1
Q3_PMA_LANE0_SOFT_RESET_LOCK                   1
Q3_PMA_LANE1_DES_CLK_CTRL_LOCK                 1
Q3_PMA_LANE1_DES_DFE_CTRL_2_LOCK               1
Q3_PMA_LANE1_DES_DFEEM_CTRL_3_LOCK             1
Q3_PMA_LANE1_DES_EM_CTRL_2_LOCK                1
Q3_PMA_LANE1_DES_IN_TERM_LOCK                  1
Q3_PMA_LANE1_DES_PKDET_LOCK                    1
Q3_PMA_LANE1_DES_RTL_LOCK_CTRL_LOCK            1
Q3_PMA_LANE1_DES_RXPLL_DIV_LOCK                1
Q3_PMA_LANE1_DES_TEST_BUS_LOCK                 1
Q3_PMA_LANE1_SER_CLK_CTRL_LOCK                 1
Q3_PMA_LANE1_SER_CTRL_LOCK                     1
Q3_PMA_LANE1_SER_DRV_BYP_LOCK                  1
Q3_PMA_LANE1_SER_DRV_CTRL_LOCK                 1
Q3_PMA_LANE1_SER_DRV_CTRL_SEL_LOCK             1
Q3_PMA_LANE1_SER_DRV_DATA_CTRL_LOCK            1
Q3_PMA_LANE1_SER_RXDET_CTRL_LOCK               1
Q3_PMA_LANE1_SER_TERM_CTRL_LOCK                1
Q3_PMA_LANE1_SER_TEST_BUS_LOCK                 1
Q3_PMA_LANE1_SERDES_RTL_CTRL_LOCK              1
Q3_PMA_LANE1_SOFT_RESET_LOCK                   1
Q3_PMA_LANE2_DES_CLK_CTRL_LOCK                 1
Q3_PMA_LANE2_DES_DFE_CTRL_2_LOCK               1
Q3_PMA_LANE2_DES_DFEEM_CTRL_3_LOCK             1
Q3_PMA_LANE2_DES_EM_CTRL_2_LOCK                1
Q3_PMA_LANE2_DES_IN_TERM_LOCK                  1
Q3_PMA_LANE2_DES_PKDET_LOCK                    1
Q3_PMA_LANE2_DES_RTL_LOCK_CTRL_LOCK            1
Q3_PMA_LANE2_DES_RXPLL_DIV_LOCK                1
Q3_PMA_LANE2_DES_TEST_BUS_LOCK                 1
Q3_PMA_LANE2_SER_CLK_CTRL_LOCK                 1
Q3_PMA_LANE2_SER_CTRL_LOCK                     1
Q3_PMA_LANE2_SER_DRV_BYP_LOCK                  1
Q3_PMA_LANE2_SER_DRV_CTRL_LOCK                 1
Q3_PMA_LANE2_SER_DRV_CTRL_SEL_LOCK             1
Q3_PMA_LANE2_SER_DRV_DATA_CTRL_LOCK            1
Q3_PMA_LANE2_SER_RXDET_CTRL_LOCK               1
Q3_PMA_LANE2_SER_TERM_CTRL_LOCK                1
Q3_PMA_LANE2_SER_TEST_BUS_LOCK                 1
Q3_PMA_LANE2_SERDES_RTL_CTRL_LOCK              1
Q3_PMA_LANE2_SOFT_RESET_LOCK                   1
Q3_PMA_LANE3_DES_CLK_CTRL_LOCK                 1
Q3_PMA_LANE3_DES_DFE_CTRL_2_LOCK               1
Q3_PMA_LANE3_DES_DFEEM_CTRL_3_LOCK             1
Q3_PMA_LANE3_DES_EM_CTRL_2_LOCK                1
Q3_PMA_LANE3_DES_IN_TERM_LOCK                  1
Q3_PMA_LANE3_DES_PKDET_LOCK                    1
Q3_PMA_LANE3_DES_RTL_LOCK_CTRL_LOCK            1
Q3_PMA_LANE3_DES_RXPLL_DIV_LOCK                1
Q3_PMA_LANE3_DES_TEST_BUS_LOCK                 1
Q3_PMA_LANE3_SER_CLK_CTRL_LOCK                 1
Q3_PMA_LANE3_SER_CTRL_LOCK                     1
Q3_PMA_LANE3_SER_DRV_BYP_LOCK                  1
Q3_PMA_LANE3_SER_DRV_CTRL_LOCK                 1
Q3_PMA_LANE3_SER_DRV_CTRL_SEL_LOCK             1
Q3_PMA_LANE3_SER_DRV_DATA_CTRL_LOCK            1
Q3_PMA_LANE3_SER_RXDET_CTRL_LOCK               1
Q3_PMA_LANE3_SER_TERM_CTRL_LOCK                1
Q3_PMA_LANE3_SER_TEST_BUS_LOCK                 1
Q3_PMA_LANE3_SERDES_RTL_CTRL_LOCK              1
Q3_PMA_LANE3_SOFT_RESET_LOCK                   1
PCIE0_PCIE_CTRL_AXI_SLAVE_PCIE_ATR_CFG0_LOCK   1
PCIE0_PCIE_CTRL_AXI_SLAVE_PCIE_ATR_CFG1_LOCK   1
PCIE0_PCIE_CTRL_CLOCK_CONTROL_LOCK             1
PCIE0_PCIE_CTRL_DEV_CONTROL_LOCK               1
PCIE0_PCIE_CTRL_PCICONF_PCI_IDS_31_0_LOCK      1
PCIE0_PCIE_CTRL_PCICONF_PCI_IDS_63_32_LOCK     1
PCIE0_PCIE_CTRL_PCICONF_PCI_IDS_95_64_LOCK     1
PCIE0_PCIE_CTRL_PCICONF_PCI_IDS_OVERRIDE_LOCK  1
PCIE0_PCIE_CTRL_PCIE_AXI_MASTER_ATR_CFG0_LOCK  1
PCIE0_PCIE_CTRL_PCIE_AXI_MASTER_ATR_CFG1_LOCK  1
PCIE0_PCIE_CTRL_PCIE_AXI_MASTER_ATR_CFG2_LOCK  1
PCIE0_PCIE_CTRL_PCIE_BAR_WIN_LOCK              1
PCIE0_PCIE_CTRL_PCIE_PEX_DEV_LINK_SPC2_LOCK    1
PCIE0_PCIE_CTRL_PCIE_PEX_SPC_LOCK              1
PCIE0_PCIE_CTRL_SOFT_RESET_LOCK                1
PCIE1_PCIE_CTRL_AXI_SLAVE_PCIE_ATR_CFG0_LOCK   1
PCIE1_PCIE_CTRL_AXI_SLAVE_PCIE_ATR_CFG1_LOCK   1
PCIE1_PCIE_CTRL_CLOCK_CONTROL_LOCK             1
PCIE1_PCIE_CTRL_DEV_CONTROL_LOCK               1
PCIE1_PCIE_CTRL_PCICONF_PCI_IDS_31_0_LOCK      1
PCIE1_PCIE_CTRL_PCICONF_PCI_IDS_63_32_LOCK     1
PCIE1_PCIE_CTRL_PCICONF_PCI_IDS_95_64_LOCK     1
PCIE1_PCIE_CTRL_PCICONF_PCI_IDS_OVERRIDE_LOCK  1
PCIE1_PCIE_CTRL_PCIE_AXI_MASTER_ATR_CFG0_LOCK  1
PCIE1_PCIE_CTRL_PCIE_AXI_MASTER_ATR_CFG1_LOCK  1
